,userid,user_state,event_name,event_attributes,event_created_date,event_platform,device_manufacture,device_model,Subscription Premium Cancel,Add Payment Method Success,Subscription Premium,Account History Transaction Details,Add Vehicle Success,Subscription Premium Renew,Sign Up Success,Order,Chat Conversation Opened,Add Vehicle Break,Chat Conversation Started,Email Confirmation Success,Add Payment Method Failed,Account Setup Skip,Calculator View,Wallet Opened,Account Setup Profile Skip,Sign Out,Transaction Refund,Calculator Used,Add Vehicle Failed,Sign Up Error,Reset Password Set,last date Subscription Premium Cancel,last date Subscription Premium Renew,Membership Ren,2 days had not passedSubscription Premium Renew,Membership Sub,last date Subscription Premium,2 days had not passedSubscription Premium,last date Order,delta monthsOrder
3362,2cfb93b59c43b29004cf6f31ccb35866,3,Sign Up Success,{'Method': 'Facebook'},2022-03-08 21:36:27,1,0,140,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-11 01:15:52,1,0,1,2022-03-11 20:17:07,0,2022-03-27 10:21:23,0
3369,2e273d205064ca23276d7f6e11c47b7c,8,Sign Up Success,{'Method': 'Google'},2022-03-28 17:25:13,1,0,143,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-28 17:51:34,0,2022-04-16 20:50:39,0
3373,2ea74995cbe34a4265a414c1ddac6dad,30,Sign Up Success,{'Method': 'Apple'},2022-03-25 22:17:26,1,0,134,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-25 22:25:46,0,2022-04-02 05:48:37,0
3382,2f68b6851b2c2da6e70344c44c1ee797,3,Sign Up Success,{'Method': 'Google'},2022-01-25 18:29:13,0,11,58,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-25 01:13:20,2,0,1,2022-01-25 19:02:49,0,2022-04-16 20:50:39,0
3387,301f31af81cd461a85c722ea012a10a6,30,Sign Up Success,{'Method': 'Email'},2022-03-21 15:03:29,0,11,89,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-03-28 05:48:28,0
3397,302956248376bb225453d6c53f1cb9c2,3,Sign Up Success,{'Method': 'Google'},2022-02-13 17:36:42,0,3,34,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-02-15 14:48:32,2
3404,30560b6ff7feef07c9cb7315b0564101,3,Order,{'Premium Membership': 'True'},2022-01-16 14:30:05,1,0,135,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-01-16 14:30:05,3
3408,31825bd1c0c1c7430bb476473fb02427,30,Sign Up Success,{'Method': 'Google'},2022-03-19 10:45:52,0,11,72,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-19 14:41:37,0,2022-04-16 20:50:39,0
3413,31a2a5bf01a650de54f5867239a05358,3,Sign Up Success,{'Method': 'Google'},2022-04-09 18:20:51,0,11,94,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-09 18:27:28,0,2022-04-16 10:56:31,0
3433,31b70a3c4e315eb48ce2f05a6af1f4c7,2,Sign Up Success,{'Method': 'Email'},2022-03-23 21:59:30,0,10,154,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-23 22:05:16,0,2022-04-01 10:36:19,0
3446,31c1e16c643a0b79de9e269ee421a3bb,30,Sign Up Success,{'Method': 'Apple'},2022-01-20 22:50:55,1,0,141,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 06:53:12,0
3654,31dbb2f9f52779609a23ab408c4f17c2,3,Sign Up Success,{'Method': 'Google'},2022-03-16 18:38:38,0,11,107,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-16 18:46:07,0,2022-03-23 10:25:27,0
3661,31ee77e6f2a77616b0529452826a2e5e,3,Sign Up Success,{'Method': 'Google'},2022-03-08 15:44:01,0,7,4,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-11 20:56:56,2022-04-16 20:50:39,0,1,1,2022-03-08 15:49:00,0,2022-03-18 10:30:43,0
3682,32574516b6e722bcaccd61294d9a44f4,11,Sign Up Success,{'Method': 'Google'},2022-02-04 13:55:38,0,10,158,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-04 14:08:30,0,2022-04-16 20:50:39,0
3687,32c03669a8a41dc78afc656f9eef1d08,30,Sign Up Success,{'Method': 'Google'},2022-03-30 00:20:12,0,7,11,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-30 00:22:08,0,2022-04-16 20:50:39,0
3692,32d06a6d0d766dc437831803b69d8473,3,Sign Up Success,{'Method': 'Google'},2022-02-03 20:53:57,0,3,38,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-02-16 15:13:57,1
3715,3300d59871c86ce4cbb7797cc3389bec,26,Sign Up Success,{'Method': 'Facebook'},2022-04-08 14:57:56,1,0,144,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-08 22:44:05,0,2022-04-16 20:50:39,0
3724,333a80b1c4f744614ccb87b8f8824584,3,Sign Up Success,{'Method': 'Facebook'},2022-03-13 20:38:12,1,0,139,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-13 21:05:29,0,2022-04-16 20:50:39,0
3730,338906dedde08209932b85f12b2bb5b0,3,Sign Up Success,{'Method': 'Google'},2022-02-11 16:12:39,0,11,91,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-02-13 15:20:05,2
3738,338f1face3221db325af58494e595031,21,Sign Up Success,{'Method': 'Google'},2022-02-20 20:20:34,0,6,21,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-20 01:15:05,2,0,1,2022-02-20 20:31:26,0,2022-04-16 20:50:39,0
3744,33d4c1a149926acd6536452ecbddc8e2,33,Sign Up Success,{'Method': 'Google'},2022-04-03 14:42:58,1,0,138,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-04 01:02:31,0,2022-04-16 08:20:54,0
3758,33df68e60856407de4a6d6d10898a0d5,28,Sign Up Success,{'Method': 'Apple'},2022-03-02 19:50:44,1,0,137,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-03 22:30:02,0,2022-04-16 20:50:39,0
3779,340a603b92a8a87d8df54de8b3f4cebc,3,Sign Up Success,{'Method': 'Apple'},2022-02-14 02:40:09,1,0,142,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,2022-02-14 18:42:12,2022-04-16 20:50:39,0,1,1,2022-02-14 05:09:12,1,2022-04-16 20:50:39,-1
3814,3441debe522763d7ad7bc7640dd4e112,3,Sign Up Success,{'Method': 'Email'},2022-03-27 22:06:22,0,11,72,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-07 10:41:32,0
3821,3470f4afabdbf091c92349cd59b87962,3,Order,{'Premium Membership': 'False'},2022-01-15 15:17:23,0,7,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-03 10:35:30,0
3842,349cf7c42e78a9348cd2e16e39c6b2a1,30,Sign Up Success,{'Method': 'Apple'},2022-03-06 18:38:00,1,0,141,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-06 20:35:52,2022-04-16 20:50:39,0,1,1,2022-03-06 18:42:31,0,2022-03-15 06:00:09,0
3852,34bc6a1b14fbd2cab9cf48521e2af7ab,3,Sign Up Success,{'Method': 'Google'},2022-03-14 15:52:41,0,11,73,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2022-03-15 09:17:32,2022-04-16 20:50:39,0,1,1,2022-03-14 15:57:03,1,2022-04-06 10:28:52,0
3873,34e285e94c4d454302efe828063bbfd5,8,Sign Up Success,{'Method': 'Google'},2022-04-02 19:00:32,0,3,35,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-13 08:21:22,0
3882,350117d2687170f2c9cda719dcfe9874,30,Sign Up Success,{'Method': 'Apple'},2022-02-24 13:16:25,1,0,140,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-03-24 12:23:10,2022-04-16 20:50:39,0,1,1,2022-02-24 13:19:42,0,2022-04-16 20:50:39,-1
3901,353dc77feb1fcc55db4925614234af23,3,Sign Up Success,{'Method': 'Google'},2022-04-09 01:24:34,1,0,135,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 10:56:34,0
3919,3554697c77fe0280271b84adac1552d4,11,Calculator View,{},2022-01-31 12:58:16,0,11,102,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-02-09 09:26:13,2
3931,36349bfe556825eb3041de5dec1acae3,3,Sign Up Success,{'Method': 'Email'},2022-03-18 14:43:40,1,0,141,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,2022-03-18 15:12:36,2022-04-16 20:50:39,0,1,1,2022-03-18 14:53:08,1,2022-04-16 20:50:39,-1
3953,36349fc0362c79b7bd699db1a37ab49c,3,Sign Up Success,{'Method': 'Apple'},2022-04-09 01:05:46,1,0,141,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-09 01:11:57,0,2022-04-16 20:50:39,0
3957,366034352c98c4efbe4fcd7af4be56bc,3,Add Vehicle Success,"{'Make': 'Jeep', 'Model': 'Cherokee', 'Color': 'Black', 'Year': '2017', 'Temporary': 'false', 'Start Date': '', 'End Date': '', 'Rental state': ''}",2022-01-17 14:50:53,0,10,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
3960,369338ede6e4a88e0d1607c75d40e965,3,Add Vehicle Break,{},2022-01-20 01:21:32,1,0,138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
3963,369c0df7caa71a3cded0e653598dba24,3,Sign Up Success,{'Method': 'Email'},2022-03-24 13:27:52,1,0,133,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-24 13:35:28,0,2022-03-28 11:14:02,0
3970,36d05f7d7de29d6195faf1a5fc978d03,30,Sign Up Success,{'Method': 'Apple'},2022-02-28 13:13:28,1,0,146,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-31 01:23:33,2,0,1,2022-02-28 13:19:33,0,2022-04-16 20:50:39,0
3977,36e396c36c0c652d06dee2f85acb11c9,21,Sign Up Success,{'Method': 'Google'},2022-03-10 01:13:09,1,0,149,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2022-04-09 11:29:21,2022-04-16 20:50:39,0,1,1,2022-03-10 01:19:25,0,2022-03-31 08:21:07,0
4024,3723b0379d1db82b50e13a7c94b87be4,3,Email Confirmation Success,{'Required': 'true'},2022-03-25 22:48:13,1,0,135,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
4029,375f680cd1242eb7bf9263dd5ba1fe6d,3,Sign Up Success,{'Method': 'Email'},2022-03-07 01:50:02,1,0,137,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2022-04-12 22:28:35,2022-04-06 01:17:22,1,0,1,2022-03-07 01:59:00,0,2022-04-16 20:50:39,-1
4040,376718de739ee11bd02d64e7ac1e6b91,3,Sign Up Success,{'Method': 'Google'},2022-03-13 18:28:20,1,0,142,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-13 01:18:37,1,0,1,2022-03-13 18:32:25,0,2022-04-16 20:50:39,0
4045,37c54950adfde875fc0c47ce59ef9413,24,Sign Up Success,{'Method': 'Google'},2022-02-05 02:47:25,1,0,137,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-05 03:13:31,0,2022-03-28 08:22:38,0
4064,37cff7850dce57b850c727da0a30e569,30,Sign Up Success,{'Method': 'Google'},2022-03-16 17:32:15,1,0,144,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-16 17:37:16,0,2022-04-09 05:48:49,0
4097,38041ee2e8b2c82bb886cced22e52f24,3,Sign Up Success,{'Method': 'Apple'},2022-03-27 17:28:32,1,0,142,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-30 20:39:09,0,2022-04-16 20:50:39,0
4108,385f820f77b8a4ac405178faf27cda22,3,Sign Up Success,{'Method': 'Google'},2022-01-19 23:21:22,1,0,137,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-01-19 23:29:26,2022-04-16 20:50:39,0,1,1,2022-01-19 23:26:09,1,2022-01-21 14:26:34,0
4119,387c88f25e204376acf003420663fef5,1,Sign Up Success,{'Method': 'Google'},2022-04-16 18:39:13,0,11,74,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 18:57:36,2022-04-16 20:50:39,0,1,1,2022-04-16 18:47:30,1,2022-04-16 20:50:39,-1
4128,38837e2d6cad9dfb09d951825b1b4fca,30,Sign Up Success,{'Method': 'Google'},2022-04-01 19:58:11,0,11,91,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-02 01:51:01,0,2022-04-16 20:50:39,0
4150,389ef7a081ffbee9915de2c0db4b0e8d,3,Sign Up Success,{'Method': 'Google'},2022-02-17 23:48:50,1,0,142,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2022-03-15 03:44:36,2022-04-16 20:50:39,0,1,1,2022-02-17 23:54:33,0,2022-03-16 10:48:06,0
4166,38c5600b2cef3232ae2db7b51b5cdb4b,3,Sign Up Success,{'Method': 'Google'},2022-02-27 22:32:25,1,0,137,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-03-26 02:31:25,2022-04-16 20:50:39,0,1,1,2022-02-27 22:40:04,0,2022-03-13 11:20:43,0
4184,38d61e1a86ec9b86a036bbba21ac2dfe,3,Sign Up Success,{'Method': 'Google'},2022-02-14 18:38:46,1,0,137,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-14 18:44:14,0,2022-03-16 10:42:56,1
4216,38dba38d603307835e1b88b47ef0c34c,30,Sign Up Success,{'Method': 'Apple'},2022-04-02 15:53:06,1,0,146,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-02 15:58:20,0,2022-04-16 20:50:39,0
4221,3904a3b8d43d05675044b6596d965516,3,Sign Up Success,{'Method': 'Email'},2022-02-19 19:43:19,0,6,23,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2022-04-16 20:50:39,2022-03-19 01:10:03,1,0,1,2022-02-19 19:51:30,0,2022-04-16 20:50:39,0
4231,39c9fc940cb63f5253d220f37e7ce587,30,Sign Up Success,{'Method': 'Google'},2022-04-14 18:42:32,0,11,70,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-14 18:46:27,0,2022-04-16 20:50:39,0
4235,3a2bac2ff9f5f90449ee50bd77be6246,21,Sign Up Success,{'Method': 'Google'},2022-03-28 16:02:38,0,11,91,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-28 16:39:26,0,2022-04-16 20:50:39,0
4240,3a57dc7f1e9c53802b2d7d70a8c8398e,30,Sign Up Success,{'Method': 'Email'},2022-03-06 22:43:34,1,0,146,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-06 01:17:22,1,0,1,2022-03-06 23:06:02,0,2022-04-16 20:50:39,0
4254,3a5e0e46a44fb3b8a6424e8b363bb1c0,16,Sign Out,{'Type': 'Manual'},2022-01-20 18:28:04,1,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
4256,3a847271bca021f730165eb5d34710f3,30,Subscription Premium Renew,"{'Start Date': '2022-02-05', 'Renewal Date': '2022-03-05', 'Membership Type': 'Monthly'}",2022-02-04 01:15:26,2,13,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-04 01:14:31,1,0,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
4259,3ab0365f7c3971229b1c39a165b348f6,30,Account History Transaction Details,"{'Navigated From': 'Account History', 'Status': 'Pending', 'Type': 'Violation Transaction'}",2022-01-29 14:14:13,0,3,36,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-10 01:15:57,1,0,0,2022-04-16 20:50:39,1,2022-03-29 06:01:24,0
4265,3b0e78006bdafefcf05a0ee4d7f978ab,3,Sign Up Success,{'Method': 'Google'},2022-02-23 23:07:37,1,0,144,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-23 01:13:27,1,0,1,2022-02-23 23:10:09,0,2022-04-02 11:27:04,0
4283,3ba65939b03dd736b664863bd5e7eed4,3,Sign Up Success,{'Method': 'Google'},2022-03-09 16:07:55,0,11,93,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-10 10:45:38,2022-04-16 20:50:39,0,1,1,2022-03-09 16:15:04,0,2022-04-16 20:50:39,-1
4302,3bfc54f0e636e24b24d40885b63e34cc,3,Sign Up Success,{'Method': 'Facebook'},2022-02-11 10:09:37,1,0,140,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-11 01:10:29,1,0,1,2022-02-11 11:27:31,0,2022-04-16 20:50:39,0
4311,3d119362b1d08614d469324cf046271f,19,Sign Up Success,{'Method': 'Apple'},2022-03-28 23:29:32,1,0,143,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-09 18:49:30,0,2022-04-12 06:21:37,0
4321,3d49da0965533c33153bb65eb1b6d11d,3,Sign Up Success,{'Method': 'Apple'},2022-03-15 19:16:45,1,0,140,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2022-04-16 03:51:12,2022-04-15 02:01:29,2,1,1,2022-03-15 19:25:27,0,2022-03-17 10:27:27,1
4349,3ddccd890467c76dd9886a40dbd51800,20,Sign Up Success,{'Method': 'Email'},2022-02-25 00:03:08,1,0,135,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-24 01:13:26,1,0,1,2022-02-25 00:14:16,0,2022-03-26 20:42:54,0
4368,3e589bc1e06fa0c8fb18a3608504a252,24,Sign Up Success,{'Method': 'Apple'},2022-01-27 02:32:40,1,0,138,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-03-15 07:03:24,1
4374,3ea9a683522f9c4db196734ca9764133,3,Sign Up Success,{'Method': 'Google'},2022-02-13 19:02:15,0,3,37,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-03-14 22:07:44,2022-04-16 20:50:39,0,1,1,2022-02-13 19:05:47,0,2022-03-30 10:42:06,0
4396,3ee27e464dfd51c416fb80b4e7330c76,12,Sign Up Success,{'Method': 'Apple'},2022-03-09 14:45:03,1,0,144,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-09 01:15:17,1,0,1,2022-03-09 14:49:13,0,2022-04-16 20:50:39,0
4402,3ff515e258fd127963d4b549dd158dbd,4,Sign Up Success,{'Method': 'Google'},2022-01-21 19:58:53,0,11,102,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-16 01:19:46,2,0,1,2022-02-16 19:42:53,0,2022-04-16 20:50:39,0
4408,401f06afe10a40b0ce430c4b486fbf98,24,Sign Up Success,{'Method': 'Google'},2022-02-26 15:33:26,0,11,87,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-26 15:49:26,0,2022-04-12 08:40:24,0
4451,4028aa8de16372fa151699d3e451e497,3,Add Vehicle Break,{},2022-04-14 12:50:55,0,11,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
4453,40bb760dcafe2254a0dfe804eac23a33,30,Sign Up Success,{'Method': 'Apple'},2022-01-21 09:16:36,1,0,143,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2022-02-21 20:35:27,2022-02-21 01:13:09,1,1,1,2022-01-21 11:51:12,0,2022-04-16 20:50:39,-1
4492,40d74d801142724f930bd784d2273059,11,Add Payment Method Success,"{'Payment Method': 'PayPal', 'Tokenized Pay': ''}",2022-01-29 19:18:02,0,6,24,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2022-03-28 12:02:25,2022-02-28 01:18:06,1,0,1,2022-01-29 19:18:16,0,2022-03-28 08:26:49,0
4523,410ff2f2d9e4f17566eeee53bed279fd,30,Chat Conversation Opened,{'From': 'Menu'},2022-01-21 15:28:18,1,0,138,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-12 08:52:18,0
4570,411005e3a783b70dfad79e2656d39507,11,Add Vehicle Success,"{'Make': 'Buick', 'Model': 'Envision', 'Color': 'Black', 'Year': '2016', 'Temporary': 'false', 'Start Date': '', 'End Date': '', 'Rental state': ''}",2022-02-05 22:31:39,0,11,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
4572,415a999a1ed566ebf7e65e950bac72fb,3,Sign Up Success,{'Method': 'Email'},2022-02-28 18:26:38,0,11,65,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2022-02-28 18:55:28,2022-04-16 20:50:39,0,1,1,2022-02-28 18:31:10,1,2022-04-16 20:50:39,-1
4579,419bcb39eb06745117cce7d87497b7f4,8,Email Confirmation Success,{},2022-01-20 15:49:52,0,4,26,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
4594,41ef8ce6c7e3ce0869d791dc17a3d161,30,Wallet Opened,{},2022-01-15 19:59:37,1,0,144,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2022-03-23 20:42:55,2022-02-09 01:12:20,2,0,0,2022-04-16 20:50:39,1,2022-04-16 06:53:12,0
